cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
MARI04250;Ribeirão do Marinheiro;Ponte na vicinal Isidoro Parise, na divisa de municípios de Pedranopolis e Parisi.;2013-01-01;NA;PEDRANOPOLIS;2223;15;3536901;Pedranópolis
RITA02700;Ribeirão Santa Rita;Ponte na SP-463, na divisa Mun. de Ouroeste e Populina. Junto a régua da DAEE 7A-001R.;2013-01-01;NA;POPULINA;2212;15;3540408;Populina
RPRE02200;Reservatório do Rio Preto;Na captação da ETA de São José do Rio Preto.;1984-02-01;NA;SÃO JOSÉ DO RIO PRETO;236;15;3549805;São José Do Rio Preto
BILU02900;Córrego da Biluca;NA ENTRADA DA EST.ECOLOGICA DA UNESP;2008-11-01;NA;SÃO JOSÉ DO RIO PRETO;1769;15;3549805;São José Do Rio Preto
MOIS02300;Córrego do Morais;NA ENTRADA DA ESTAÇÃO ECOLÓGICA DA UNESP;2008-11-01;NA;SÃO JOSÉ DO RIO PRETO;1770;15;3549805;São José Do Rio Preto
MOIS02600;Córrego do Morais;NA REPRESA DO MORAIS, DENTRO DO INST. PENAL AGRÍCOLA, NO VERTEDOURO DA MARGEM DIREITA;2008-11-01;NA;SÃO JOSÉ DO RIO PRETO;1771;15;3549805;São José Do Rio Preto
IADE04500;Córrego da Piedade;No tubulão sob a ponte da  SP - 310.;2008-11-01;NA;SÃO JOSÉ DO RIO PRETO;1772;15;3549805;São José Do Rio Preto
SDOM03900;Ribeirão São Domingos;Na ponte do Pingadouro, em Tabapuã.;2005-07-01;NA;TABAPUA;1036;15;3552601;Tabapuã
SDOM04600;Ribeirão São Domingos;Na ponte do Japurá, em Uchôa.;2005-07-01;2009-12-31;UCHOA;1034;15;3555604;Uchoa
SDOM03700;Ribeirão São Domingos;Na ponte Tabapuã, na rodovia que liga Uchoa a Tabapuã;2005-07-01;2009-12-31;UCHOA;1035;15;3555604;Uchoa
RMAR02900;Reservatório do Córrego Marinheirinho;NO PIER DA CAPTAÇÃO DO SAEV DE VOTUPORANGA;2011-01-01;NA;VOTUPORANGA;2116;15;3557105;Votuporanga
PRET04300;Rio Preto - UGRHI 15;Ponte na estrada que liga a cidade de Ipigua à  Rodovia BR -153.;2000-10-17;NA;IPIGUÁ;369;15;3521150;Ipiguá
